"","id","x","y","area","Nhat"
"1",683,3456515.964,-1555820.118,160000,1.13752111590325
"2",682,3456480.066,-1555400.061,160000,1.14513700970092
"3",681,3456496.326,-1555034.738,160000,1.1451960884737
"4",680,3456533.173,-1554588.835,160000,1.14275645871792
"5",679,3456472.904,-1554207.998,160000,1.15315573619381
"6",678,3456471.611,-1553809.307,160000,1.15540158769757
"7",677,3456471.611,-1553409.307,160000,1.15730621436607
"8",676,3456471.611,-1553009.307,160000,1.15902284651675
"9",772,3456871.611,-1550209.307,160000,1.10981273394771
"10",771,3456871.611,-1549809.307,160000,1.11019459594245
"11",770,3456871.611,-1549409.307,160000,1.11051404435006
"12",769,3456871.611,-1549009.307,160000,1.11079051613233
"13",768,3456871.611,-1548609.307,160000,1.11104297398544
"14",767,3456854.238,-1548221.203,160000,1.11369067716905
"15",766,3456778.23,-1547904.812,160000,1.12447600845771
"16",684,3456574.372,-1556068.09,160000,1.12800780205635
"17",667,3456471.611,-1549409.307,160000,1.16691600659082
"18",666,3456471.611,-1549009.307,160000,1.16722925240125
"19",665,3456471.611,-1548609.307,160000,1.16750664601471
"20",664,3456471.611,-1548209.307,160000,1.1677701300576
"21",663,3456473.528,-1547861.34,160000,1.16772922840244
"22",579,3456171.809,-1555327.55,160000,1.18825241771665
"23",578,3456134.499,-1555093.288,160000,1.19511687928807
"24",576,3456100.169,-1554140.526,160000,1.20609841364643
"25",675,3456471.611,-1552609.307,160000,1.16055014362187
"26",674,3456471.611,-1552209.307,160000,1.16188914795401
"27",673,3456471.611,-1551809.307,160000,1.16304670342115
"28",672,3456471.611,-1551409.307,160000,1.16403379531608
"29",671,3456471.611,-1551009.307,160000,1.16486162315913
"30",670,3456471.611,-1550609.307,160000,1.1655418611358
"31",669,3456471.611,-1550209.307,160000,1.16609490178762
"32",668,3456471.611,-1549809.307,160000,1.16654527266789
"33",877,3457271.611,-1551009.307,160000,1.05483636159206
"34",876,3457271.611,-1550609.307,160000,1.05531377208331
"35",875,3457271.611,-1550209.307,160000,1.0557080842077
"36",874,3457271.611,-1549809.307,160000,1.05603740206551
"37",873,3457271.611,-1549409.307,160000,1.05631950882362
"38",872,3457271.611,-1549009.307,160000,1.05657125045744
"39",871,3457222.607,-1548659.058,160000,1.06330572037661
"40",870,3457098.664,-1548369.262,160000,1.08013365446078
"41",885,3457271.611,-1554209.307,160000,1.04652387299973
"42",884,3457271.611,-1553809.307,160000,1.04805002387334
"43",883,3457271.611,-1553409.307,160000,1.04944031429364
"44",882,3457271.611,-1553009.307,160000,1.05068802934673
"45",881,3457271.611,-1552609.307,160000,1.05178918496891
"46",880,3457271.611,-1552209.307,160000,1.05274596868007
"47",879,3457271.611,-1551809.307,160000,1.05356584490522
"48",878,3457271.611,-1551409.307,160000,1.0542586244629
"49",780,3456871.611,-1553409.307,160000,1.10236042658499
"50",779,3456871.611,-1553009.307,160000,1.10383408791422
"51",778,3456871.611,-1552609.307,160000,1.10514014829755
"52",777,3456871.611,-1552209.307,160000,1.10627997242093
"53",776,3456871.611,-1551809.307,160000,1.10725940334558
"54",775,3456871.611,-1551409.307,160000,1.10808870859315
"55",774,3456871.611,-1551009.307,160000,1.10877984877527
"56",773,3456871.611,-1550609.307,160000,1.10934810476836
"57",788,3456998.079,-1556545.961,160000,1.06955662788042
"58",787,3456894.991,-1556190.271,160000,1.0850265514303
"59",786,3456871.611,-1555809.307,160000,1.09038911759159
"60",785,3456871.611,-1555409.307,160000,1.09271538982269
"61",784,3456871.611,-1555009.307,160000,1.0949149175322
"62",783,3456871.611,-1554609.307,160000,1.09698616285252
"63",782,3456871.611,-1554209.307,160000,1.09892343140089
"64",781,3456871.611,-1553809.307,160000,1.10071974099299
"65",357,3455271.611,-1549009.307,160000,1.35031277851263
"66",356,3455277.376,-1548615.235,160000,1.34981867022718
"67",355,3455373.976,-1548334.43,160000,1.33455295013005
"68",261,3455026.451,-1551647.802,160000,1.38333952005284
"69",260,3454890.676,-1551381.909,160000,1.40666626837175
"70",259,3454871.611,-1551009.307,160000,1.41126092667682
"71",258,3454871.611,-1550609.307,160000,1.41260109818169
"72",257,3454871.611,-1550209.307,160000,1.41373203185678
"73",457,3455813.376,-1547966.396,160000,1.26590493716667
"74",364,3455179.864,-1551677.164,160000,1.358491759911
"75",363,3455265.593,-1551402.251,160000,1.34588863709169
"76",362,3455271.611,-1551009.307,160000,1.34626106627648
"77",361,3455271.611,-1550609.307,160000,1.34741024451259
"78",360,3455271.611,-1550209.307,160000,1.34836895698509
"79",359,3455271.611,-1549809.307,160000,1.34915261764466
"80",358,3455271.611,-1549409.307,160000,1.34978854336158
"81",153,3454471.632,-1549809.328,160000,1.4825875726319
"82",152,3454533.173,-1549442.35,160000,1.47280673647916
"83",151,3454624.548,-1549119.85,160000,1.45772546552407
"84",53,3454198.084,-1550876.462,160000,1.52667589497835
