id;x;y;area
100;3454047,036;-1549972,930;40000
101;3453995,956;-1550125,000;40000
102;3453989,599;-1550299,730;40000
103;3454043,151;-1550497,370;40000
104;3454059,733;-1550667,210;40000
304;3454224,733;-1549743,860;40000
305;3454177,576;-1549914,530;40000
306;3454171,611;-1550109,300;40000
307;3454171,611;-1550309,300;40000
308;3454171,611;-1550509,300;40000
309;3454171,786;-1550709,140;40000
310;3454198,084;-1550876,460;40000
507;3454456,508;-1549380,610;40000
508;3454404,102;-1549530,610;40000
509;3454371,653;-1549709,340;40000
510;3454371,611;-1549909,300;40000
511;3454371,611;-1550109,300;40000
512;3454371,611;-1550309,300;40000
513;3454371,611;-1550509,300;40000
514;3454371,611;-1550709,300;40000
515;3454371,621;-1550909,290;40000
516;3454410,064;-1551086,630;40000
517;3454438,370;-1551310,490;40000
518;3454437,654;-1551459,120;40000
710;3454658,056;-1548990,490;40000
711;3454622,388;-1549128,190;40000
712;3454579,080;-1549315,090;40000
713;3454571,611;-1549509,300;40000
714;3454571,611;-1549709,300;40000
715;3454571,611;-1549909,300;40000
716;3454571,611;-1550109,300;40000
717;3454571,611;-1550309,300;40000
718;3454571,611;-1550509,300;40000
719;3454571,611;-1550709,300;40000
720;3454571,611;-1550909,300;40000
721;3454571,611;-1551109,300;40000
722;3454571,611;-1551309,300;40000
723;3454569,857;-1551442,460;40000
914;3454842,427;-1548777,870;40000
915;3454787,126;-1548922,050;40000
916;3454771,611;-1549109,300;40000
917;3454771,611;-1549309,300;40000
918;3454771,611;-1549509,300;40000
919;3454771,611;-1549709,300;40000
920;3454771,611;-1549909,300;40000
921;3454771,611;-1550109,300;40000
922;3454771,611;-1550309,300;40000
923;3454771,611;-1550509,300;40000
924;3454771,611;-1550709,300;40000
925;3454771,611;-1550909,300;40000
926;3454771,611;-1551109,300;40000
927;3454771,611;-1551309,300;40000
928;3454783,691;-1551451,880;40000
1118;3455038,438;-1548576,130;40000
1119;3454981,662;-1548719,060;40000
1120;3454971,611;-1548909,300;40000
1121;3454971,611;-1549109,300;40000
1122;3454971,611;-1549309,300;40000
1123;3454971,611;-1549509,300;40000
1124;3454971,611;-1549709,300;40000
1125;3454971,611;-1549909,300;40000
1126;3454971,611;-1550109,300;40000
1127;3454971,611;-1550309,300;40000
1128;3454971,611;-1550509,300;40000
1129;3454971,611;-1550709,300;40000
1130;3454971,611;-1550909,300;40000
1131;3454971,611;-1551109,300;40000
1132;3454971,611;-1551309,300;40000
1133;3454975,673;-1551505,210;40000
1134;3455026,451;-1551647,800;40000
1322;3455242,584;-1548384,740;40000
1323;3455181,559;-1548519,980;40000
1324;3455171,611;-1548709,300;40000
1325;3455171,611;-1548909,300;40000
1326;3455171,611;-1549109,300;40000
1327;3455171,611;-1549309,300;40000
1328;3455171,611;-1549509,300;40000
1329;3455171,611;-1549709,300;40000
1330;3455171,611;-1549909,300;40000
1331;3455171,611;-1550109,300;40000
1332;3455171,611;-1550309,300;40000
1333;3455171,611;-1550509,300;40000
1334;3455171,611;-1550709,300;40000
1335;3455171,611;-1550909,300;40000
1336;3455171,611;-1551109,300;40000
1337;3455171,611;-1551309,300;40000
1338;3455171,611;-1551509,300;40000
1339;3455170,906;-1551680,680;40000
1526;3455461,604;-1548201,930;40000
1527;3455387,347;-1548330,430;40000
1528;3455371,611;-1548509,300;40000
